"Facility ID","Measure ID","Value","Footnote","Start Date","End Date"
030043,MSPB-1,0.925183,,01/01/2018,12/31/2018
030055,MSPB-1,0.949439,,01/01/2018,12/31/2018
030061,MSPB-1,0.941920,,01/01/2018,12/31/2018
030062,MSPB-1,0.941981,,01/01/2018,12/31/2018
030064,MSPB-1,0.968294,,01/01/2018,12/31/2018
030065,MSPB-1,1.007358,,01/01/2018,12/31/2018
030068,MSPB-1,1.035977,,01/01/2018,12/31/2018
030069,MSPB-1,0.923986,,01/01/2018,12/31/2018
030071,MSPB-1,0.725479,,01/01/2018,12/31/2018
030073,MSPB-1,0.762261,,01/01/2018,12/31/2018
030074,MSPB-1,N/A,1,01/01/2018,12/31/2018
030077,MSPB-1,1.130586,,01/01/2018,12/31/2018
030078,MSPB-1,0.785176,,01/01/2018,12/31/2018
030083,MSPB-1,0.967318,,01/01/2018,12/31/2018
030084,MSPB-1,0.673867,,01/01/2018,12/31/2018
030085,MSPB-1,1.003286,,01/01/2018,12/31/2018
030087,MSPB-1,1.018038,,01/01/2018,12/31/2018
030088,MSPB-1,0.972799,,01/01/2018,12/31/2018
030089,MSPB-1,1.007056,,01/01/2018,12/31/2018
030092,MSPB-1,0.994268,,01/01/2018,12/31/2018
030093,MSPB-1,0.938156,,01/01/2018,12/31/2018
030094,MSPB-1,1.045506,,01/01/2018,12/31/2018
030101,MSPB-1,0.924920,,01/01/2018,12/31/2018
030103,MSPB-1,0.936104,,01/01/2018,12/31/2018
030105,MSPB-1,0.988609,,01/01/2018,12/31/2018
030107,MSPB-1,0.840514,,01/01/2018,12/31/2018
030108,MSPB-1,0.877898,,01/01/2018,12/31/2018
030110,MSPB-1,1.018021,,01/01/2018,12/31/2018
030111,MSPB-1,0.931039,,01/01/2018,12/31/2018
030112,MSPB-1,1.034724,,01/01/2018,12/31/2018
030113,MSPB-1,0.786352,,01/01/2018,12/31/2018
030114,MSPB-1,0.943971,,01/01/2018,12/31/2018
030115,MSPB-1,0.921758,,01/01/2018,12/31/2018
030117,MSPB-1,0.915475,,01/01/2018,12/31/2018
030119,MSPB-1,0.980455,,01/01/2018,12/31/2018
030121,MSPB-1,0.990123,,01/01/2018,12/31/2018
030122,MSPB-1,0.979494,,01/01/2018,12/31/2018
030123,MSPB-1,0.958624,,01/01/2018,12/31/2018
030130,MSPB-1,0.907178,,01/01/2018,12/31/2018
030131,MSPB-1,0.911035,,01/01/2018,12/31/2018
030134,MSPB-1,0.881370,,01/01/2018,12/31/2018
030136,MSPB-1,0.932315,,01/01/2018,12/31/2018
030137,MSPB-1,0.867122,,01/01/2018,12/31/2018
040001,MSPB-1,1.004712,,01/01/2018,12/31/2018
040002,MSPB-1,1.032763,,01/01/2018,12/31/2018
040004,MSPB-1,0.972757,,01/01/2018,12/31/2018
040007,MSPB-1,1.023101,,01/01/2018,12/31/2018
040010,MSPB-1,0.939192,,01/01/2018,12/31/2018
040011,MSPB-1,0.840019,,01/01/2018,12/31/2018
040014,MSPB-1,1.019048,,01/01/2018,12/31/2018
040015,MSPB-1,1.189939,,01/01/2018,12/31/2018
040016,MSPB-1,1.010592,,01/01/2018,12/31/2018
040017,MSPB-1,0.901600,,01/01/2018,12/31/2018
040018,MSPB-1,0.939290,,01/01/2018,12/31/2018
040019,MSPB-1,0.878255,,01/01/2018,12/31/2018
040020,MSPB-1,1.060395,,01/01/2018,12/31/2018
040022,MSPB-1,0.990477,,01/01/2018,12/31/2018
040026,MSPB-1,1.038962,,01/01/2018,12/31/2018
040027,MSPB-1,0.963424,,01/01/2018,12/31/2018
040029,MSPB-1,1.022065,,01/01/2018,12/31/2018
040036,MSPB-1,1.019148,,01/01/2018,12/31/2018
040039,MSPB-1,1.091633,,01/01/2018,12/31/2018
040041,MSPB-1,0.961183,,01/01/2018,12/31/2018
040047,MSPB-1,1.034837,,01/01/2018,12/31/2018
040050,MSPB-1,0.987097,,01/01/2018,12/31/2018
040051,MSPB-1,0.901009,,01/01/2018,12/31/2018
040055,MSPB-1,1.047124,,01/01/2018,12/31/2018
040062,MSPB-1,1.040324,,01/01/2018,12/31/2018
040067,MSPB-1,1.033185,,01/01/2018,12/31/2018
040069,MSPB-1,0.958707,,01/01/2018,12/31/2018
040071,MSPB-1,1.040040,,01/01/2018,12/31/2018
040072,MSPB-1,0.882314,,01/01/2018,12/31/2018
040074,MSPB-1,1.329952,,01/01/2018,12/31/2018
040076,MSPB-1,0.881355,,01/01/2018,12/31/2018
040078,MSPB-1,1.059691,,01/01/2018,12/31/2018
040084,MSPB-1,1.033329,,01/01/2018,12/31/2018
040085,MSPB-1,0.792865,,01/01/2018,12/31/2018
040088,MSPB-1,1.033294,,01/01/2018,12/31/2018
040114,MSPB-1,1.016402,,01/01/2018,12/31/2018
040118,MSPB-1,1.023780,,01/01/2018,12/31/2018
040119,MSPB-1,0.982986,,01/01/2018,12/31/2018
040134,MSPB-1,0.943024,,01/01/2018,12/31/2018
040137,MSPB-1,1.074840,,01/01/2018,12/31/2018
040147,MSPB-1,0.902272,,01/01/2018,12/31/2018
040152,MSPB-1,1.016826,,01/01/2018,12/31/2018
040153,MSPB-1,0.915180,,01/01/2018,12/31/2018
040154,MSPB-1,0.918049,,01/01/2018,12/31/2018
050002,MSPB-1,1.101397,,01/01/2018,12/31/2018
050006,MSPB-1,0.940670,,01/01/2018,12/31/2018
050007,MSPB-1,0.925987,,01/01/2018,12/31/2018
050008,MSPB-1,0.947775,,01/01/2018,12/31/2018
050009,MSPB-1,0.911967,,01/01/2018,12/31/2018
050013,MSPB-1,0.973144,,01/01/2018,12/31/2018
050014,MSPB-1,0.955561,,01/01/2018,12/31/2018
050017,MSPB-1,0.943473,,01/01/2018,12/31/2018
